Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count,Sequence
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,force,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--force,1.0,29.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,newton's second law of motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--newton's second law of motion,10.0,32.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,common forces in mechanics,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--common forces in mechanics,12.0,35.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,introduction to motion,5ec5867a0c88fe5860961943,cbse--6th cbse--science--physics--motion and measurement of distances--introduction to motion,10.0,36.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,describing motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--motion--describing motion,11.0,37.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,equilibrium of a particle,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--equilibrium of a particle,3.0,37.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,the scalar product of vectors,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--the scalar product of vectors",7.0,42.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,work,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--work",11.0,43.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,balanced and unbalanced forces,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--balanced and unbalanced forces,5.0,43.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,inertia and mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--inertia and mass,7.0,44.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,kinetic energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--kinetic energy",1.0,45.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,second law of motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--second law of motion,8.0,45.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,conservation of momentum,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--conservation of momentum,3.0,47.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,power,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--power",5.0,49.0
